material,ei/gfx_debris_clump_em|dup
rawfile,ui/uieditor/widgets/notifications/weaponlevelup/weaponlevelupnotification_title.lua
rawfile,ui/uieditor/widgets/notifications/weaponlevelup/weaponlevelupnotification_titlebacking.lua
rawfile,ui/uieditor/widgets/notifications/weaponlevelup/weaponlevelupnotification_topbacking.lua
rawfile,ui/uieditor/widgets/onoffimage.lua
rawfile,ui/uieditor/widgets/playercard/identitybadge.lua
rawfile,ui/uieditor/widgets/primaryoffhandicon.lua
rawfile,ui/uieditor/widgets/raids/raidspurchaseitem.lua
rawfile,ui/uieditor/widgets/raids/raidspurchaseiteminternal.lua
rawfile,ui/uieditor/widgets/raids/raidspurchases.lua
rawfile,ui/uieditor/widgets/rankupnotificationtile.lua
rawfile,ui/uieditor/widgets/reticles/blackcell/target.lua
rawfile,ui/uieditor/widgets/reticles/blackcell/teammatelockon.lua
rawfile,ui/uieditor/widgets/reticles/blackcell/timer.lua
rawfile,ui/uieditor/widgets/reticles/magnifier/magnifierreticle_internal.lua
rawfile,ui/uieditor/widgets/reticles/magnifier/magnifierreticle_ui3d.lua
rawfile,ui/uieditor/widgets/reticles/mp/bowlauncherreticle.lua
rawfile,ui/uieditor/widgets/reticles/mp/bowlauncherreticle_dot.lua
rawfile,ui/uieditor/widgets/reticles/mp/bowlauncherreticle_internal.lua
rawfile,ui/uieditor/widgets/reticles/mp/bowlauncherreticle_l1.lua
rawfile,ui/uieditor/widgets/reticles/mp/bowlauncherreticle_l2.lua
rawfile,ui/uieditor/widgets/reticles/mp/bowlauncherreticle_l3.lua
rawfile,ui/uieditor/widgets/reticles/mp/bowlauncherreticle_l4.lua
rawfile,ui/uieditor/widgets/reticles/mp/bowlauncherreticle_shader.lua
rawfile,ui/uieditor/widgets/reticles/rocketlaunchers/rocketlauncherreticle.lua
rawfile,ui/uieditor/widgets/reticles/rocketlaunchers/rocketlauncherreticle_ui3d.lua
rawfile,ui/uieditor/widgets/reticles/rocketlaunchers/rocketlauncherreticle_ui3d_internal.lua
rawfile,ui/uieditor/widgets/secondaryoffhandicon.lua
rawfile,ui/uieditor/widgets/startmenu/startmenu_gameoptions_zm.lua
rawfile,ui/uieditor/widgets/startmenu/startmenu_linegraphics.lua
rawfile,ui/uieditor/widgets/systemoverlays/systemoverlay_democustomizehighlightreel_layout.lua
rawfile,ui/uieditor/widgets/textwithdisablestate.lua
rawfile,ui/uieditor/widgets/theater/theater_bottomframepanel.lua
rawfile,ui/uieditor/widgets/theater/theater_bottomframepanelcont.lua
rawfile,ui/uieditor/widgets/theater/theater_focusbar.lua
rawfile,ui/uieditor/widgets/theater/theater_framewidget.lua
rawfile,ui/uieditor/widgets/theater/theater_topframepanel.lua
rawfile,ui/uieditor/widgets/theater/theater_topframepanelcont.lua
rawfile,ui/uieditor/widgets/tos.lua
rawfile,ui/uieditor/widgets/utilities/progressbar_rank.lua
rawfile,ui/uieditor/widgets/zmbuildables/buildableborder.lua
rawfile,ui/uieditor/widgets/zmbuildables/buildableborder_internal.lua
rawfile,ui/uieditor/widgets/zmbuildables/buildableicon.lua
rawfile,ui/uieditor/widgets/zmbuildables/buildableiconbg.lua
rawfile,ui/uieditor/widgets/zmbuildables/questitemlist.lua
rawfile,ui/uieditor/widgets/zmpromotional/zm_promo_doublevialwidgetlistitem.lua
rawfile,ui/uieditor/widgets/zmpromotional/zm_promoiconlist.lua
rawfile,ui/uieditor/widgets/zmpromotional/zm_promolistitem.lua
scriptparsetree,scripts/zm/_ambient.csc
scriptparsetree,scripts/zm/_art.gsc
scriptparsetree,scripts/zm/_ballistic_knife.gsc
scriptparsetree,scripts/zm/_bb.gsc
scriptparsetree,scripts/zm/_callbacks.csc
scriptparsetree,scripts/zm/_callbacks.gsc
scriptparsetree,scripts/zm/_challenges.gsc
scriptparsetree,scripts/zm/_claymore.csc
scriptparsetree,scripts/zm/_destructible.csc
scriptparsetree,scripts/zm/_destructible.gsc
scriptparsetree,scripts/zm/_filter.csc
scriptparsetree,scripts/zm/_fx.csc
scriptparsetree,scripts/zm/_fx.gsc
scriptparsetree,scripts/zm/_global_fx.csc
scriptparsetree,scripts/zm/_load.csc
scriptparsetree,scripts/zm/_load.gsc
scriptparsetree,scripts/zm/_radiant_live_update.csc
scriptparsetree,scripts/zm/_rat.gsc
scriptparsetree,scripts/zm/_sticky_grenade.csc
scriptparsetree,scripts/zm/_sticky_grenade.gsc
scriptparsetree,scripts/zm/_util.csc
scriptparsetree,scripts/zm/_util.gsc
scriptparsetree,scripts/zm/_zm.csc
scriptparsetree,scripts/zm/_zm.gsc
scriptparsetree,scripts/zm/_zm_ai_dogs.gsc
scriptparsetree,scripts/zm/_zm_ai_faller.gsc
scriptparsetree,scripts/zm/_zm_altbody.csc
scriptparsetree,scripts/zm/_zm_altbody.gsc
scriptparsetree,scripts/zm/_zm_attackables.gsc
scriptparsetree,scripts/zm/_zm_audio.csc
scriptparsetree,scripts/zm/_zm_audio.gsc
scriptparsetree,scripts/zm/_zm_behavior.gsc
scriptparsetree,scripts/zm/_zm_behavior_utility.gsc
scriptparsetree,scripts/zm/_zm_bgb.csc
scriptparsetree,scripts/zm/_zm_bgb.gsc
scriptparsetree,scripts/zm/_zm_bgb_machine.csc
scriptparsetree,scripts/zm/_zm_bgb_machine.gsc
scriptparsetree,scripts/zm/_zm_bgb_token.gsc
scriptparsetree,scripts/zm/_zm_blockers.gsc
scriptparsetree,scripts/zm/_zm_bot.gsc
scriptparsetree,scripts/zm/_zm_clone.gsc
scriptparsetree,scripts/zm/_zm_daily_challenges.gsc
scriptparsetree,scripts/zm/_zm_demo.csc
scriptparsetree,scripts/zm/_zm_devgui.gsc
scriptparsetree,scripts/zm/_zm_equipment.csc
scriptparsetree,scripts/zm/_zm_equipment.gsc
scriptparsetree,scripts/zm/_zm_ffotd.csc
scriptparsetree,scripts/zm/_zm_ffotd.gsc
scriptparsetree,scripts/zm/_zm_game_module.gsc
scriptparsetree,scripts/zm/_zm_game_module_utility.gsc
scriptparsetree,scripts/zm/_zm_hero_weapon.gsc
scriptparsetree,scripts/zm/_zm_jump_pad.gsc
scriptparsetree,scripts/zm/_zm_laststand.csc
scriptparsetree,scripts/zm/_zm_laststand.gsc
scriptparsetree,scripts/zm/_zm_lightning_chain.csc
scriptparsetree,scripts/zm/_zm_lightning_chain.gsc
scriptparsetree,scripts/zm/_zm_magicbox.csc
scriptparsetree,scripts/zm/_zm_magicbox.gsc
scriptparsetree,scripts/zm/_zm_melee_weapon.gsc
scriptparsetree,scripts/zm/_zm_mgturret.gsc
scriptparsetree,scripts/zm/_zm_net.gsc
scriptparsetree,scripts/zm/_zm_pack_a_punch.csc
scriptparsetree,scripts/zm/_zm_pack_a_punch.gsc
scriptparsetree,scripts/zm/_zm_pack_a_punch_util.gsc
scriptparsetree,scripts/zm/_zm_perks.csc
scriptparsetree,scripts/zm/_zm_perks.gsc
scriptparsetree,scripts/zm/_zm_pers_upgrades.gsc
scriptparsetree,scripts/zm/_zm_pers_upgrades_functions.gsc
scriptparsetree,scripts/zm/_zm_pers_upgrades_system.gsc
scriptparsetree,scripts/zm/_zm_placeable_mine.gsc
scriptparsetree,scripts/zm/_zm_player.gsc
scriptparsetree,scripts/zm/_zm_playerhealth.csc
scriptparsetree,scripts/zm/_zm_playerhealth.gsc
scriptparsetree,scripts/zm/_zm_power.gsc
scriptparsetree,scripts/zm/_zm_powerup_bonus_points_player.csc
scriptparsetree,scripts/zm/_zm_powerup_bonus_points_player.gsc
scriptparsetree,scripts/zm/_zm_powerups.csc
scriptparsetree,scripts/zm/_zm_powerups.gsc
scriptparsetree,scripts/zm/_zm_puppet.gsc
scriptparsetree,scripts/zm/_zm_score.csc
scriptparsetree,scripts/zm/_zm_score.gsc
scriptparsetree,scripts/zm/_zm_server_throttle.gsc
scriptparsetree,scripts/zm/_zm_sidequests.csc
scriptparsetree,scripts/zm/_zm_sidequests.gsc
scriptparsetree,scripts/zm/_zm_spawner.gsc
scriptparsetree,scripts/zm/_zm_stats.gsc
scriptparsetree,scripts/zm/_zm_timer.gsc
scriptparsetree,scripts/zm/_zm_traps.csc
scriptparsetree,scripts/zm/_zm_traps.gsc
scriptparsetree,scripts/zm/_zm_turned.gsc
scriptparsetree,scripts/zm/_zm_unitrigger.gsc
scriptparsetree,scripts/zm/_zm_utility.csc
scriptparsetree,scripts/zm/_zm_utility.gsc
scriptparsetree,scripts/zm/_zm_weap_ballistic_knife.gsc
scriptparsetree,scripts/zm/_zm_weap_bouncingbetty.csc
scriptparsetree,scripts/zm/_zm_weap_bouncingbetty.gsc
scriptparsetree,scripts/zm/_zm_weapons.csc
scriptparsetree,scripts/zm/_zm_weapons.gsc
scriptparsetree,scripts/zm/_zm_zdraw.csc
scriptparsetree,scripts/zm/_zm_zonemgr.gsc
scriptparsetree,scripts/zm/aats/_zm_aat_blast_furnace.csc
scriptparsetree,scripts/zm/aats/_zm_aat_blast_furnace.gsc
scriptparsetree,scripts/zm/aats/_zm_aat_dead_wire.csc
scriptparsetree,scripts/zm/aats/_zm_aat_dead_wire.gsc
scriptparsetree,scripts/zm/aats/_zm_aat_fire_works.csc
scriptparsetree,scripts/zm/aats/_zm_aat_fire_works.gsc
scriptparsetree,scripts/zm/aats/_zm_aat_thunder_wall.csc
scriptparsetree,scripts/zm/aats/_zm_aat_thunder_wall.gsc
scriptparsetree,scripts/zm/aats/_zm_aat_turned.csc
scriptparsetree,scripts/zm/aats/_zm_aat_turned.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_aftertaste.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_aftertaste.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_alchemical_antithesis.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_alchemical_antithesis.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_always_done_swiftly.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_always_done_swiftly.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_anywhere_but_here.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_anywhere_but_here.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_armamental_accomplishment.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_armamental_accomplishment.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_arms_grace.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_arms_grace.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_arsenal_accelerator.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_arsenal_accelerator.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_board_games.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_board_games.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_board_to_death.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_board_to_death.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_bullet_boost.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_bullet_boost.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_burned_out.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_burned_out.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_cache_back.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_cache_back.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_coagulant.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_coagulant.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_crate_power.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_crate_power.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_crawl_space.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_crawl_space.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_danger_closest.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_danger_closest.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_dead_of_nuclear_winter.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_dead_of_nuclear_winter.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_disorderly_combat.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_disorderly_combat.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_ephemeral_enhancement.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_ephemeral_enhancement.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_extra_credit.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_extra_credit.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_eye_candy.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_eye_candy.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_fatal_contraption.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_fatal_contraption.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_fear_in_headlights.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_fear_in_headlights.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_firing_on_all_cylinders.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_firing_on_all_cylinders.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_flavor_hexed.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_flavor_hexed.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_head_drama.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_head_drama.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_idle_eyes.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_idle_eyes.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_im_feelin_lucky.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_im_feelin_lucky.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_immolation_liquidation.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_immolation_liquidation.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_impatient.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_impatient.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_in_plain_sight.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_in_plain_sight.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_kill_joy.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_kill_joy.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_killing_time.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_killing_time.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_licensed_contractor.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_licensed_contractor.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_lucky_crit.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_lucky_crit.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_mind_blown.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_mind_blown.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_near_death_experience.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_near_death_experience.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_newtonian_negation.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_newtonian_negation.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_now_you_see_me.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_now_you_see_me.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_on_the_house.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_on_the_house.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_perkaholic.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_perkaholic.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_phoenix_up.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_phoenix_up.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_pop_shocks.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_pop_shocks.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_power_vacuum.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_power_vacuum.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_profit_sharing.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_profit_sharing.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_projectile_vomiting.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_projectile_vomiting.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_reign_drops.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_reign_drops.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_respin_cycle.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_respin_cycle.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_round_robbin.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_round_robbin.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_secret_shopper.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_secret_shopper.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_self_medication.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_self_medication.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_shopping_free.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_shopping_free.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_slaughter_slide.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_slaughter_slide.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_soda_fountain.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_soda_fountain.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_stock_option.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_stock_option.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_sword_flay.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_sword_flay.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_temporal_gift.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_temporal_gift.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_tone_death.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_tone_death.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_unbearable.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_unbearable.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_undead_man_walking.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_undead_man_walking.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_unquenchable.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_unquenchable.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_wall_power.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_wall_power.gsc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_whos_keeping_score.csc
scriptparsetree,scripts/zm/bgbs/_zm_bgb_whos_keeping_score.gsc
scriptparsetree,scripts/zm/craftables/_zm_craftables.csc
scriptparsetree,scripts/zm/craftables/_zm_craftables.gsc
scriptparsetree,scripts/zm/gametypes/_clientids.gsc
scriptparsetree,scripts/zm/gametypes/_damagefeedback.gsc
scriptparsetree,scripts/zm/gametypes/_dev.gsc
scriptparsetree,scripts/zm/gametypes/_globallogic.gsc
scriptparsetree,scripts/zm/gametypes/_globallogic_actor.gsc
scriptparsetree,scripts/zm/gametypes/_globallogic_audio.gsc
scriptparsetree,scripts/zm/gametypes/_globallogic_defaults.gsc
scriptparsetree,scripts/zm/gametypes/_globallogic_player.gsc
scriptparsetree,scripts/zm/gametypes/_globallogic_score.gsc
scriptparsetree,scripts/zm/gametypes/_globallogic_spawn.gsc
scriptparsetree,scripts/zm/gametypes/_globallogic_ui.gsc
scriptparsetree,scripts/zm/gametypes/_globallogic_utils.gsc
scriptparsetree,scripts/zm/gametypes/_globallogic_vehicle.gsc
scriptparsetree,scripts/zm/gametypes/_hostmigration.gsc
scriptparsetree,scripts/zm/gametypes/_hud_message.gsc
scriptparsetree,scripts/zm/gametypes/_perplayer.gsc
scriptparsetree,scripts/zm/gametypes/_scoreboard.gsc
scriptparsetree,scripts/zm/gametypes/_serversettings.gsc
scriptparsetree,scripts/zm/gametypes/_shellshock.gsc
scriptparsetree,scripts/zm/gametypes/_spawning.gsc
scriptparsetree,scripts/zm/gametypes/_spawnlogic.gsc
scriptparsetree,scripts/zm/gametypes/_spectating.gsc
scriptparsetree,scripts/zm/gametypes/_weapon_utils.gsc
scriptparsetree,scripts/zm/gametypes/_weaponobjects.csc
scriptparsetree,scripts/zm/gametypes/_weaponobjects.gsc
scriptparsetree,scripts/zm/gametypes/_weapons.gsc
scriptparsetree,scripts/zm/gametypes/_zm_gametype.gsc
scriptparsetree,scripts/zm/gametypes/zclassic.csc
scriptparsetree,scripts/zm/gametypes/zclassic.gsc
keyvaluepairs,zm_patch
texturecombo,zm_patch
